GID,PLANT_ID,PLANT_LOCA,PLANTED_BY,PLANT_TYPE,YEAR,HEIGHT,FERTILITY,GEOLOGY,SOIL_DEPTH,WATER,IRRIGATION,HEALTH,STACKING,TREE_GUARD,IRRIGATION00,THREATS,PHOTO
2,2,Nursery_Model,Mrs. Vandita V. Chatpalli,Indian_Cheery,,,,,5_10,,Available,,No,No,,Human_Activities,https://drive.google.com/file/d/1nAdtAeYth5NxENsrNT_WLVPC376tO1Rw/view?usp=sharing
5,5,Nursery_Model,Admin,Wild_Almonds,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1ss6paeLvmzbcPQkuG2TlGDwnfgpu2QME
6,6,Nursery_Model,Admin,Aonla,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1fEN_nEAWUn4K7O_G-RHlzxyKvXwI4RZJ
7,7,Nursery_Model,Admin,Samanea_Saman,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1GhPBFZQyGjqc6D6_R6QSWe55hOzs_2h8
8,8,Nursery_Model,Admin,Shivane,,,,,5_10,,Available,,No,No,,Human_Activities,https://drive.google.com/open?id=15iXXBszTxGmiu-fNyd-bbJckdU7WhPWw
10,10,Nursery_Model,Admin,Aonla,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1DmzhQzSH0Jx1hmqfJdlX1JpeFLiQvYRH
11,11,Nursery_Model,Admin,Aonla,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=15wXbznvFWBco1E5PsIhpHOKviJ-oMUaC
12,12,Nursery_Model,Admin,Aonla,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1PJJw4ggIar_5O3n983xUmmLAGnng4IRy
13,13,Nursery_Model,Admin,Aonla,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1RrZa3gIvU4YfKi9h4-_3Hnz4QAqCDlEu
14,14,Nursery_Model,Admin,Mango,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1ZhCS7UrryRev1uLMUtQ6yUKPmW5MvinC
15,15,Nursery_Model,Admin,Aonla,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=17X9OXrEuswpaUoPyJ9v7KYzOMYVTa4Xt
16,30,Nursery_Model,Non_Teaching,Samanea_Saman,,,,,5_10,,Available,,Yes,No,,Human_Activities,https://drive.google.com/open?id=1sfiPmXb7Bsmgi4PAPFd4zAuNreRLbMN5
17,16,Nursery_Model,Non_Teaching,Azadirachta_Neem,,,,,3_5,,Not_Available,,No,No,,No_Threats,https://drive.google.com/open?id=1xA0u5Xi-nBheYZxNFIegffl4U0a1YPvy
18,18,Nursery_Model,Non_Teaching,Jamun,,,,,3_5,,Not_Available,,No,No,,No_Threats,https://drive.google.com/open?id=12eAibOgX5t8v5k-zEs4z3JwkmdflA703
19,17,Nursery_Model,Non_Teaching,Aonla,,,,,3_5,,Not_Available,,No,No,,No_Threats,https://drive.google.com/open?id=1HE_I6BZyjPK752F2mYQ-JwfKk3L6FLcU
20,19,Nursery_Model,Non_Teaching,Singapore_Cherry,,,,,5_10,,Not_Available,,Yes,No,,No_Threats,https://drive.google.com/open?id=1yNPggbO6D7WZ7NQ392nvc86qGRlE5ee8
21,20,Nursery_Model,Non_Teaching,Singapore_Cherry,,,,,5_10,,Not_Available,,Yes,No,,No_Threats,https://drive.google.com/open?id=1ZnMaHQlN8Q2d3ru4N4jQTbSNIkORxbTJ
22,21,Nursery_Model,Non_Teaching,Singapore_Cherry,,,,,5_10,,Not_Available,,Yes,Yes,,No_Threats,https://drive.google.com/open?id=1A5qsyrAtYaPYsifqbZO7YSKpDvfn6j50
23,22,Nursery_Model,Non_Teaching,Singapore_Cherry,,,,,5_10,,Not_Available,,No,Yes,,No_Threats,https://drive.google.com/open?id=1hUTrQ44jr9rFgeRd1F2MJr-iPhyr_5Sy
24,23,Nursery_Model,Non_Teaching,Singapore_Cherry,,,,,5_10,,Not_Available,,No,Yes,,No_Threats,https://drive.google.com/open?id=1-GSilTLS2WLEBc5Peuef70h-v6r_RHSM
25,24,Nursery_Model,Non_Teaching,Singapore_Cherry,,,,,5_10,,Not_Available,,No,Yes,,No_Threats,https://drive.google.com/open?id=1yCKNkqRtnWECV7InVOyqc5dCjRV8IJGw
26,25,Nursery_Model,Non_Teaching,Singapore_Cherry,,,,,5_10,,Not_Available,,No,Yes,,No_Threats,https://drive.google.com/open?id=17g51VllbgcpiLLr1touOS_zkaJF8-80Q
27,29,Nursery_Model,Non_Teaching,Singapore_Cherry,,,,,5_10,,Not_Available,,Yes,No,,No_Threats,https://drive.google.com/open?id=1r7Uol2rGj6ghRyCFoZ7EG5v1WXr-ZgAW
28,28,Nursery_Model,Non_Teaching,Singapore_Cherry,,,,,5_10,,Not_Available,,No,Yes,,No_Threats,https://drive.google.com/open?id=1jpwNphtQoOvLxyJFTHLPxfnuepoZcPNg
29,27,Nursery_Model,Non_Teaching,Singapore_Cherry,,,,,5_10,,Not_Available,,No,Yes,,No_Threats,https://drive.google.com/open?id=1vXjmWPfLaiVw1UPDTOjVw_LdnVWe03s8
30,26,Nursery_Model,Non_Teaching,Singapore_Cherry,,,,,5_10,,Not_Available,,Yes,Yes,,No_Threats,https://drive.google.com/open?id=1K8eTlKe3LR197HDrF34GypEH7YKia_kM
31,31,Nursery_Model,Non_Teaching,teak_tectona_grandis,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1Jy8x_Ck26DlXIH-5dB13AbaE2vm6ocOu
32,32,Nursery_Model,Non_Teaching,Jamun,,,,,5_10,,Available,,Yes,No,,No_Threats,https://drive.google.com/open?id=1R44rTn7HSXWBKCNQCpm0unI_iWhpAn9i
33,33,Nursery_Model,Non_Teaching,Jamun,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1xpCHQzzRnxLiX3wD3Btpvpw5708yQp2c
34,34,Nursery_Model,Non_Teaching,Coconut,,,,,5_10,,Available,,Yes,Yes,,No_Threats,https://drive.google.com/open?id=1Px6mQtIqjxXdvAOngWzzh3b8SzcC2CMa
35,35,Nursery_Model,Non_Teaching,teak_tectona_grandis,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1BaQq7oSe4eObiHLPz1eR541WTQvhNULG
36,36,Nursery_Model,Non_Teaching,Custard_apple,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1hP1jINKWFIYilUedC8PajNidiG5rxUCg
37,37,Nursery_Model,Non_Teaching,teak_tectona_grandis,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=18NmFQRYdPDHvyGvAEc167SpkaQTA5gD-
38,38,Nursery_Model,Non_Teaching,Custard_apple,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1p1V78UOqZz7YYiYZyTgTsdge_LXk04Ah
39,39,Nursery_Model,Non_Teaching,teak_tectona_grandis,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=13EiaPpLo1oZtjl0JDAhtka9dafnE0TFF
40,40,Nursery_Model,Non_Teaching,Custard_apple,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1Ay3k_7hbnLpkfCKu91m0Ty6ss4l_21DE
41,41,Nursery_Model,Non_Teaching,teak_tectona_grandis,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1b2PTm47BmGNU8TpKmdmijS3yAYlS3USi
42,42,Nursery_Model,Non_Teaching,teak_tectona_grandis,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1sjjV6WkBpW7smwB2YAuB4NYxE8d2PywR
43,43,Nursery_Model,Non_Teaching,teak_tectona_grandis,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1WIfyUXlq4rjAWf544yoeLr2ATiInzQGs
44,44,Nursery_Model,Non_Teaching,teak_tectona_grandis,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1ub60URud5kmskngTkqZEW2lFZHj5Hk35
45,45,Nursery_Model,Non_Teaching,teak_tectona_grandis,,,,,5_10,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1UUOWt1V2EraIfv5oEielcRRLxi1zQbZa
46,46,Nursery_Model,Non_Teaching,teak_tectona_grandis,,,,,3_5,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1oUVc8puH_y-Mq13XoWK4MVjQNBtguTCt
47,47,Nursery_Model,Non_Teaching,Jamun,,,,,3_5,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1epCvsdPR2ECi47LpehfEtFB3Wy_9YyWt
48,48,Nursery_Model,Non_Teaching,teak_tectona_grandis,,,,,3_5,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1e0X0GgXHaDBr-P99rpkCCuTytFVpsxdA
49,49,Nursery_Model,Non_Teaching,Custard_apple,,,,,3_5,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=13nnDoxZfHKKV4Km_rsGuVXzD7GIVT8LV
50,50,Nursery_Model,Non_Teaching,teak_tectona_grandis,,,,,3_5,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1dUBe5YPdivzttOnHU3Zrv0685rS2jZDu
51,51,Nursery_Model,Non_Teaching,Jamun,,,,,3_5,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=13GYuwOhSKOYoktQGDHsffIoa1KLNmvZT
52,52,Nursery_Model,Non_Teaching,teak_tectona_grandis,,,,,3_5,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1Tnudm9CSGu2KKGYQdelcirHhg4HtAVmJ
53,53,Nursery_Model,Non_Teaching,teak_tectona_grandis,,,,,3_5,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=15rYynSLKBxR_2ZUt8wyQDMO9QdqZtJSb
55,55,Nursery_Model,Non_Teaching,teak_tectona_grandis,,,,,3_5,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1l2yVOm1h6nE6b8y5kw38yUtNx0MHs8bX
56,56,Nursery_Model,Non_Teaching,Custard_apple,,,,,3_5,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1jSw6isKAdoaIW5zvcsW3vRkj3iNHxUCN
57,57,Nursery_Model,Non_Teaching,Jamun,,,,,3_5,,Available,,No,No,,No_Threats,https://drive.google.com/open?id=1SwVV1JMFC866maDty2LiF4yozcAefuGi
58,69,Nursery-Model,Non-Teaching,Jamun,,,,,3_5,,Not-Available,,No,No,,No-Threats,https://drive.google.com/open?id=17X_2D4pxyge4D7Dw9zhqO2zSWggDhliw
59,67,Nursery-Model,Non-Teaching,Jamun,,,,,3_5,,Not-Available,,No,No,,Water-Scarcity,https://drive.google.com/open?id=1qIzVn7jMV56U5uGJy6RXHPh3MzUJ-Xi0
60,65,Nursery-Model,Non-Teaching,Jamun,,,,,3_5,,Not-Available,,No,No,,Water-Scarcity,https://drive.google.com/open?id=12djChG6RXdUbvV0frjXQeTtGbX8uUrFL
61,61,Nursery-Model,Non-Teaching,Jamun,,,,,3_5,,Available,,No,No,,No-Threats,https://drive.google.com/open?id=1btG7hE5egAHPyVu0MuNCdBUmpTMR_ypu
62,70,Nursery-Model,Non-Teaching,Mango,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1zUG7Mpsu1MdBPUxpbctYPJvteBDzQ4yZ
63,71,Nursery-Model,Non-Teaching,Sapota,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1sI_OVwDsH89sFXUevbKjGkyiVILYLbfv
64,72,Nursery-Model,Non-Teaching,Guava,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1azzZVjW_xH-0LGHgkBDH_X8Tlv8ptXsu
65,75,Nursery-Model,Non-Teaching,Guava,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1e3sQPOu_fYEPHUuSDOHwE_saQPlFgsni
66,76,Nursery-Model,Non-Teaching,Guava,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1tBzRnn-rADvZpEX0mQCdLPaEqKGWENZn
67,77,Nursery-Model,Non-Teaching,Guava,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1nhy41tWKtYfDzfw-MoYZMYkpJBiwvUko
68,78,Nursery-Model,Non-Teaching,Guava,,,,,3_5,,Available,,No,Yes,,Human-Activities,https://drive.google.com/open?id=1j32xkrVT4LjgycQ2Pe1Rshioh47usSye
69,79,Nursery-Model,Non-Teaching,Guava,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1sSs84neBk4P4EP06e8blzS3hxcMUaTRL
71,81,Nursery-Model,Non-Teaching,Guava,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1kSCRQ4zM7DO0QSsNOgVGK_G9KEJzu-Qr
72,82,Nursery-Model,Non-Teaching,Custard_apple,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1jeju-TtHVT0YOXMxsr8PUK1ASjBvbhaf
73,84,Nursery-Model,Non-Teaching,Mango,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1HLB3TegZ7dq-h2162VMGDkjRAHr3qEmU
74,83,Nursery-Model,Non-Teaching,Sapota,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1jbItAhTSAKEvAhkHGlry5fj9uTqw8M-L
75,73,Nursery-Model,Non-Teaching,Sapota,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=19nTvf00tUnl06F43hsDSwy5tHVUVACgt
76,74,Nursery-Model,Non-Teaching,Sapota,,,,,3_5,,Available,,No,Yes,,Human-Activities,https://drive.google.com/open?id=177WICThzRDoyxSE73qaNBmaGqd14f3ep
77,85,Nursery-Model,Non-Teaching,Guava,,,,,3_5,,Available,,No,Yes,,Human-Activities,https://drive.google.com/open?id=1T7IiqVbMBdTXL_k3-fZ6ZJo_wbkGUeTi
78,86,Nursery-Model,Non-Teaching,Guava,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=15W7SY5GFJNBSZm9kpY9HUclBQtqC776u
79,87,Nursery-Model,Non-Teaching,Guava,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1wTAz_pgCG0JC2OVi0RGI4xts3wDs5NFV
81,89,Nursery-Model,Non-Teaching,Guava,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1AFElhsgOLZwsu2U5581G0akkugxspkZZ
82,90,Nursery-Model,Non-Teaching,Guava,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1d3_X_8I9yr1r9UZRaycIX9rG2Hk6H5er
83,91,Nursery-Model,Non-Teaching,Guava,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1dVVTAqazLKU3g4VW89zJPr-eu262pNHw
84,93,Nursery-Model,Non-Teaching,Guava,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1oBvkFdGyNfoXRKbgJXjEqLAqKuoIaIR1
85,92,Nursery-Model,Non-Teaching,Guava,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1XfqjSqYEL3eeiSVIr5WPQSu4toDC06dH
86,94,Nursery-Model,Non-Teaching,Custard_apple,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1rD6HI5EojheENfJZbQqJiMRr1foryvaa
87,95,Nursery-Model,Non-Teaching,Guava,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1hOx1QfgfKM6ogoo056WVwlX1RrmTFiYs
88,96,Nursery-Model,Non-Teaching,Guava,,,,,3_5,,Available,,No,No,,Human-Activities,https://drive.google.com/open?id=1bLpG8qJ3nVzRm3rsgsREGd-E7Twwq_Fh
